district,industry_code,industry_name,official_city_subgroup_employment,official_district_72_employment,estimated_district_subgroup_employment,allocation_method,district_subgroup_is_modelled,geometry_or_spatial_allocation_used,reference_date,employment_universe
虹口区,723,法律服务,50311,54193,1432,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
杨浦区,723,法律服务,50311,55036,1454,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
闵行区,723,法律服务,50311,185963,4913,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
宝山区,723,法律服务,50311,166347,4395,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
嘉定区,723,法律服务,50311,95276,2517,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
浦东新区,723,法律服务,50311,363367,9600,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
金山区,723,法律服务,50311,31730,838,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
松江区,723,法律服务,50311,68145,1800,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
青浦区,723,法律服务,50311,44055,1164,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
奉贤区,723,法律服务,50311,54954,1452,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
崇明区,723,法律服务,50311,19072,504,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
黄浦区,724,咨询与调查,363868,191187,36531,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
徐汇区,724,咨询与调查,363868,151850,29014,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
长宁区,724,咨询与调查,363868,106199,20292,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
静安区,724,咨询与调查,363868,228852,43728,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
普陀区,724,咨询与调查,363868,88096,16833,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
虹口区,724,咨询与调查,363868,54193,10355,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
杨浦区,724,咨询与调查,363868,55036,10516,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
闵行区,724,咨询与调查,363868,185963,35533,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
宝山区,724,咨询与调查,363868,166347,31785,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
嘉定区,724,咨询与调查,363868,95276,18205,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
浦东新区,724,咨询与调查,363868,363367,69430,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
金山区,724,咨询与调查,363868,31730,6063,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
松江区,724,咨询与调查,363868,68145,13021,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
青浦区,724,咨询与调查,363868,44055,8418,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
奉贤区,724,咨询与调查,363868,54954,10500,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
崇明区,724,咨询与调查,363868,19072,3644,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
黄浦区,725,广告业,100658,191187,10106,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
徐汇区,725,广告业,100658,151850,8026,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
长宁区,725,广告业,100658,106199,5613,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
静安区,725,广告业,100658,228852,12097,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
普陀区,725,广告业,100658,88096,4656,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
虹口区,725,广告业,100658,54193,2864,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
杨浦区,725,广告业,100658,55036,2909,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
闵行区,725,广告业,100658,185963,9830,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
宝山区,725,广告业,100658,166347,8793,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
嘉定区,725,广告业,100658,95276,5036,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
浦东新区,725,广告业,100658,363367,19207,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
金山区,725,广告业,100658,31730,1677,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
松江区,725,广告业,100658,68145,3602,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
青浦区,725,广告业,100658,44055,2329,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
奉贤区,725,广告业,100658,54954,2905,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
崇明区,725,广告业,100658,19072,1008,"maximum-entropy independence allocation proportional to official district division-72 employment, with largest-remainder reconciliation to each official Shanghai subgroup total",True,False,2023-12-31,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded
